chapter#,verse#,verse,chapter,cluster
1,1,بسم الله الرحمٰن الرحيم,سورة الفاتحة,10
1,2,الحمد لله رب العٰلمين,سورة الفاتحة,16
1,3,الرحمٰن الرحيم,سورة الفاتحة,10
1,4,مٰلك يوم الدين,سورة الفاتحة,56
1,5,اياك نعبد واياك نستعين,سورة الفاتحة,0
1,6,اهدنا الصرٰط المستقيم,سورة الفاتحة,0
1,7,صرٰط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,سورة الفاتحة,44
2,0,سورة البقرة,سورة البقرة,6
2,0,بسم الله الرحمٰن الرحيم,سورة البقرة,10
2,1,الم,سورة البقرة,55
2,2,ذٰلك الكتٰب لا ريب فيه هدى للمتقين,سورة البقرة,21
2,3,الذين يؤمنون بالغيب ويقيمون الصلوٰة ومما رزقنٰهم ينفقون,سورة البقرة,48
2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخرة هم يوقنون,سورة البقرة,68
2,5,اولٰئك علىٰ هدى من ربهم واولٰئك هم المفلحون,سورة البقرة,63
2,6,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يؤمنون,سورة البقرة,60
2,7,ختم الله علىٰ قلوبهم وعلىٰ سمعهم وعلىٰ ابصٰرهم غشٰوة ولهم عذاب عظيم,سورة البقرة,43
2,8,ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمؤمنين,سورة البقرة,29
2,9,يخٰدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون,سورة البقرة,29
2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون,سورة البقرة,27
2,11,واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون,سورة البقرة,54
2,12,الا انهم هم المفسدون ولٰكن لا يشعرون,سورة البقرة,46
2,13,واذا قيل لهم ءامنوا كما ءامن الناس قالوا انؤمن كما ءامن السفهاء الا انهم هم السفهاء ولٰكن لا يعلمون,سورة البقرة,46
2,14,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الىٰ شيٰطينهم قالوا انا معكم انما نحن مستهزءون,سورة البقرة,54
