chapter#,verse#,chapter,verse
1,1,سورة الفاتحة,بسم الله الرحمٰن الرحيم
1,2,سورة الفاتحة,الحمد لله رب العٰلمين
1,3,سورة الفاتحة,الرحمٰن الرحيم
1,4,سورة الفاتحة,مٰلك يوم الدين
1,5,سورة الفاتحة,اياك نعبد واياك نستعين
1,6,سورة الفاتحة,اهدنا الصرٰط المستقيم
1,7,سورة الفاتحة,صرٰط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين
2,0,سورة البقرة,سورة البقرة
2,0,سورة البقرة,بسم الله الرحمٰن الرحيم
2,1,سورة البقرة,الم
2,2,سورة البقرة,ذٰلك الكتٰب لا ريب فيه هدى للمتقين
2,3,سورة البقرة,الذين يؤمنون بالغيب ويقيمون الصلوٰة ومما رزقنٰهم ينفقون
2,4,سورة البقرة,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخرة هم يوقنون
2,5,سورة البقرة,اولٰئك علىٰ هدى من ربهم واولٰئك هم المفلحون
2,6,سورة البقرة,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يؤمنون
2,7,سورة البقرة,ختم الله علىٰ قلوبهم وعلىٰ سمعهم وعلىٰ ابصٰرهم غشٰوة ولهم عذاب عظيم
2,8,سورة البقرة,ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمؤمنين
2,9,سورة البقرة,يخٰدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون
2,10,سورة البقرة,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون
2,11,سورة البقرة,واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون
2,12,سورة البقرة,الا انهم هم المفسدون ولٰكن لا يشعرون
2,13,سورة البقرة,واذا قيل لهم ءامنوا كما ءامن الناس قالوا انؤمن كما ءامن السفهاء الا انهم هم السفهاء ولٰكن لا يعلمون
2,14,سورة البقرة,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الىٰ شيٰطينهم قالوا انا معكم انما نحن مستهزءون
2,15,سورة البقرة,الله يستهزئ بهم ويمدهم في طغيٰنهم يعمهون
2,16,سورة البقرة,اولٰئك الذين اشتروا الضلٰلة بالهدىٰ فما ربحت تجٰرتهم وما كانوا مهتدين
2,17,سورة البقرة,مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمٰت لا يبصرون
2,18,سورة البقرة,صم بكم عمي فهم لا يرجعون
2,19,سورة البقرة,او كصيب من السماء فيه ظلمٰت ورعد وبرق يجعلون اصٰبعهم في ءاذانهم من الصوٰعق حذر الموت والله محيط بالكٰفرين
2,20,سورة البقرة,يكاد البرق يخطف ابصٰرهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصٰرهم ان الله علىٰ كل شيء قدير
2,21,سورة البقرة,يٰايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
2,22,سورة البقرة,الذي جعل لكم الارض فرٰشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرٰت رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون
2,23,سورة البقرة,وان كنتم في ريب مما نزلنا علىٰ عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صٰدقين
2,24,سورة البقرة,فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة اعدت للكٰفرين
2,25,سورة البقرة,وبشر الذين ءامنوا وعملوا الصٰلحٰت ان لهم جنٰت تجري من تحتها الانهٰر كلما رزقوا منها من ثمرة رزقا قالوا هٰذا الذي رزقنا من قبل واتوا به متشٰبها ولهم فيها ازوٰج مطهرة وهم فيها خٰلدون
2,26,سورة البقرة,ان الله لا يستحي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين ءامنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهٰذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفٰسقين
2,27,سورة البقرة,الذين ينقضون عهد الله من بعد ميثٰقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض اولٰئك هم الخٰسرون
2,28,سورة البقرة,كيف تكفرون بالله وكنتم اموٰتا فاحيٰكم ثم يميتكم ثم يحييكم ثم اليه ترجعون
2,29,سورة البقرة,هو الذي خلق لكم ما في الارض جميعا ثم استوىٰ الى السماء فسوىٰهن سبع سمٰوٰت وهو بكل شيء عليم
2,30,سورة البقرة,واذ قال ربك للملٰئكة اني جاعل في الارض خليفة قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون
2,31,سورة البقرة,وعلم ءادم الاسماء كلها ثم عرضهم على الملٰئكة فقال انبوني باسماء هٰؤلاء ان كنتم صٰدقين
2,32,سورة البقرة,قالوا سبحٰنك لا علم لنا الا ما علمتنا انك انت العليم الحكيم
2,33,سورة البقرة,قال يٰادم انبئهم باسمائهم فلما انباهم باسمائهم قال الم اقل لكم اني اعلم غيب السمٰوٰت والارض واعلم ما تبدون وما كنتم تكتمون
2,34,سورة البقرة,واذ قلنا للملٰئكة اسجدوا لادم فسجدوا الا ابليس ابىٰ واستكبر وكان من الكٰفرين
2,35,سورة البقرة,وقلنا يٰادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هٰذه الشجرة فتكونا من الظٰلمين
2,36,سورة البقرة,فازلهما الشيطٰن عنها فاخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الارض مستقر ومتٰع الىٰ حين
2,37,سورة البقرة,فتلقىٰ ءادم من ربه كلمٰت فتاب عليه انه هو التواب الرحيم
2,38,سورة البقرة,قلنا اهبطوا منها جميعا فاما ياتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
2,39,سورة البقرة,والذين كفروا وكذبوا بايٰتنا اولٰئك اصحٰب النار هم فيها خٰلدون
2,40,سورة البقرة,يٰبني اسرٰءيل اذكروا نعمتي التي انعمت عليكم واوفوا بعهدي اوف بعهدكم وايٰي فارهبون
2,41,سورة البقرة,وءامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ولا تشتروا بايٰتي ثمنا قليلا وايٰي فاتقون
2,42,سورة البقرة,ولا تلبسوا الحق بالبٰطل وتكتموا الحق وانتم تعلمون
2,43,سورة البقرة,واقيموا الصلوٰة وءاتوا الزكوٰة واركعوا مع الرٰكعين
2,44,سورة البقرة,اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتٰب افلا تعقلون
2,45,سورة البقرة,واستعينوا بالصبر والصلوٰة وانها لكبيرة الا على الخٰشعين
2,46,سورة البقرة,الذين يظنون انهم ملٰقوا ربهم وانهم اليه رٰجعون
2,47,سورة البقرة,يٰبني اسرٰءيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم على العٰلمين
2,48,سورة البقرة,واتقوا يوما لا تجزي نفس عن نفس شيا ولا يقبل منها شفٰعة ولا يؤخذ منها عدل ولا هم ينصرون
2,49,سورة البقرة,واذ نجينٰكم من ءال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم وفي ذٰلكم بلاء من ربكم عظيم
2,50,سورة البقرة,واذ فرقنا بكم البحر فانجينٰكم واغرقنا ءال فرعون وانتم تنظرون
2,51,سورة البقرة,واذ وٰعدنا موسىٰ اربعين ليلة ثم اتخذتم العجل من بعده وانتم ظٰلمون
2,52,سورة البقرة,ثم عفونا عنكم من بعد ذٰلك لعلكم تشكرون
2,53,سورة البقرة,واذ ءاتينا موسى الكتٰب والفرقان لعلكم تهتدون
